uid,has_overdue,week,order_no,create_time,application_amount
7,0,2,81267513628190849,2020-11-11 16:02:05,410000.00
7,0,6,9267865031656836,2020-12-06 01:43:53,400000.00
7,0,4,9267948435902553,2020-12-11 20:43:35,650000.00
7,1,5,9268060714587208,2020-12-19 15:51:57,850000.00
8,0,1,81267298048159813,2020-10-27 16:44:28,450000.00
8,0,3,81267428268362692,2020-11-05 17:46:08,650000.00
8,0,3,81267529034785643,2020-11-12 17:43:34,650000.00
8,0,3,81267628797735715,2020-11-19 15:59:01,680000.00
8,0,3,81267728802316520,2020-11-26 14:40:16,800000.00
8,0,5,9267759337755462,2020-11-28 17:33:25,510000.00
8,0,3,81267830936499634,2020-12-03 16:53:43,800000.00
8,0,4,9267845964727913,2020-12-04 17:56:55,510000.00
8,0,6,105267871796259160,2020-12-06 12:59:42,500000.00
8,0,3,81267931687256797,2020-12-10 16:48:38,800000.00
8,0,4,9267945126655001,2020-12-11 15:12:15,510000.00
8,1,5,105267962174482216,2020-12-12 19:37:30,600000.00
8,1,5,9268061327280507,2020-12-19 16:52:58,740000.00
8,0,6,105268072925517108,2020-12-20 12:12:06,700000.00
9,0,3,106267932647347589,2020-12-10 18:24:33,500000.00
9,0,4,9268048599388476,2020-12-18 19:39:06,510000.00
9,1,5,9268058718433339,2020-12-19 12:31:28,510000.00
10,1,5,9268063016195280,2020-12-19 19:41:01,460000.00
10,0,6,106268076786555430,2020-12-20 18:38:00,500000.00
11,0,0,106267475275518400,2020-11-09 00:17:18,300000.00
11,0,6,127267573738117554,2020-11-15 20:14:01,500000.00
11,0,0,128267583491149649,2020-11-16 12:30:17,500000.00
11,0,0,111267584267601376,2020-11-16 13:47:12,300000.00
11,0,0,125267584429091276,2020-11-16 14:04:12,350000.00
11,0,0,114267584472484913,2020-11-16 14:08:04,300000.00
11,0,0,124267585847590881,2020-11-16 16:25:00,300000.00
11,0,0,117267588446508653,2020-11-16 20:45:12,500000.00
11,0,0,113267588497521328,2020-11-16 20:49:58,300000.00
11,0,0,112267588513050105,2020-11-16 20:52:10,300000.00
11,0,1,106267597436174915,2020-11-17 11:44:26,300000.00
11,0,1,118267597565568186,2020-11-17 11:57:03,300000.00
11,0,1,108267600871375866,2020-11-17 17:28:22,500000.00
11,0,5,9267661008335525,2020-11-21 21:40:33,460000.00
11,0,5,82267661038183683,2020-11-21 21:43:49,460000.00
11,0,6,111267669388570249,2020-11-22 11:39:30,400000.00
11,0,0,124267683164236502,2020-11-23 10:38:16,350000.00
11,0,0,128267683349783807,2020-11-23 11:09:46,500000.00
11,0,0,125267683537069422,2020-11-23 11:13:49,500000.00
11,0,0,112267683669884973,2020-11-23 11:27:16,350000.00
11,0,0,114267683675636040,2020-11-23 11:28:20,300000.00
11,0,0,113267683696874477,2020-11-23 11:30:46,300000.00
11,0,0,129267600878542118,2020-11-23 11:31:20,300000.00
11,0,1,106267697459753502,2020-11-24 10:26:30,300000.00
11,0,1,118267697488667985,2020-11-24 10:28:57,400000.00
11,0,1,108267697927451239,2020-11-24 11:12:59,600000.00
11,0,3,117267721368628467,2020-11-26 02:17:18,500000.00
11,0,3,137267721406972889,2020-11-26 02:20:46,500000.00
11,0,3,119267721446123541,2020-11-26 02:25:11,400000.00
11,0,3,144267721435789245,2020-11-26 02:25:52,500000.00
11,1,3,135267721461606525,2020-11-26 02:27:00,600000.00
11,0,3,134267721477550597,2020-11-26 02:27:52,500000.00
11,0,3,107267721483798287,2020-11-26 02:28:43,320000.00
11,0,4,9267743172645292,2020-11-27 14:37:11,510000.00
11,0,0,81267785996802552,2020-11-30 13:59:43,400000.00
11,0,0,129267787573703575,2020-11-30 16:38:06,400000.00
11,0,1,113267792435603950,2020-12-01 00:43:45,600000.00
11,0,1,111267792449079532,2020-12-01 00:45:41,700000.00
11,0,1,125267792455534179,2020-12-01 00:46:28,500000.00
11,0,1,114267792478028668,2020-12-01 00:48:15,400000.00
11,0,1,162267792555593049,2020-12-01 00:55:49,500000.00
11,0,1,130267792595019958,2020-12-01 01:00:12,500000.00
11,1,1,124267792809270819,2020-12-01 01:20:52,600000.00
11,0,1,106267802167966804,2020-12-01 16:58:09,600000.00
11,1,1,118267802286538657,2020-12-01 17:08:58,700000.00
11,1,1,108267802345537330,2020-12-01 17:30:05,700000.00
11,0,2,117267813102334247,2020-12-02 11:10:45,600000.00
11,1,2,156267813117593385,2020-12-02 11:12:23,500000.00
11,0,2,149267813123541164,2020-12-02 11:13:31,650000.00
11,0,3,144267828444686976,2020-12-03 12:45:38,550000.00
11,1,3,134267834637000684,2020-12-03 23:04:09,650000.00
11,1,4,9267842972544324,2020-12-04 12:57:29,510000.00
11,1,0,112267878619436272,2020-12-07 00:22:07,400000.00
11,1,0,128267889977136238,2020-12-07 19:19:18,600000.00
11,0,0,113267890149700465,2020-12-07 19:35:31,650000.00
11,1,0,162267890759557975,2020-12-07 20:36:11,550000.00
11,0,1,106267906404295810,2020-12-08 22:41:13,650000.00
11,1,2,149267914407609386,2020-12-09 12:01:00,800000.00
11,0,2,107267914759582548,2020-12-09 12:38:31,320000.00
11,1,2,119267920498599021,2020-12-09 22:10:08,500000.00
11,1,4,104267600904920045,2020-12-11 13:05:45,400000.00
11,1,4,153267792621915028,2020-12-11 13:06:42,500000.00
11,1,4,117267949552329405,2020-12-11 22:37:35,600000.00
11,0,4,114267949597935920,2020-12-11 22:40:47,400000.00
11,1,5,111267956325121652,2020-12-12 09:52:53,700000.00
11,1,5,125267956331930555,2020-12-12 09:54:19,600000.00
11,1,0,113267985206352735,2020-12-14 10:00:43,700000.00
11,1,0,130267987744919735,2020-12-14 14:15:16,600000.00
11,1,1,106268006559560612,2020-12-15 21:36:18,700000.00
11,0,3,144268030028877520,2020-12-17 12:43:07,600000.00
11,0,6,137268073498662910,2020-12-20 13:10:15,550000.00
12,0,1,9262759118626040,2019-12-17 11:51:47,200000.00
12,0,4,83267644368705824,2020-11-20 17:56:57,400000.00
12,0,4,81267647054125055,2020-11-20 22:25:12,400000.00
12,0,6,82267676224087590,2020-11-22 23:02:07,400000.00
12,1,5,9267957371783249,2020-12-12 11:37:22,370000.00
12,0,2,104268015165714812,2020-12-16 11:56:14,400000.00
12,0,0,108268090914684863,2020-12-21 18:14:58,500000.00
12,0,1,127268101584628692,2020-12-22 11:59:29,500000.00
13,0,2,9263983923902240,2020-03-11 13:12:51,200000.00
13,0,3,81267627431488645,2020-11-19 13:43:08,510000.00
13,0,5,82267656814365160,2020-11-21 14:41:45,510000.00
13,0,3,81267728386607099,2020-11-26 13:58:29,600000.00
13,0,4,82267743247875618,2020-11-27 14:44:07,640000.00
13,0,5,83267760579446687,2020-11-28 19:37:35,510000.00
13,0,5,9267760655898502,2020-11-28 19:45:50,450000.00
13,0,0,81267884798608531,2020-12-07 10:39:40,680000.00
13,0,0,83267892232188876,2020-12-07 23:03:07,570000.00
13,0,0,82267892294188414,2020-12-07 23:09:30,620000.00
13,1,5,9267963091647834,2020-12-12 21:09:36,740000.00
13,0,0,82267987003373416,2020-12-14 13:00:04,750000.00
13,0,0,83267987214795618,2020-12-14 13:21:47,620000.00
13,1,0,82268089128893336,2020-12-21 15:12:22,750000.00
13,1,0,81268089287069705,2020-12-21 15:28:10,680000.00
13,1,0,83268089375808923,2020-12-21 15:37:45,570000.00
14,0,0,9267384316363710,2020-11-02 16:31:12,450000.00
14,0,6,9267468978210415,2020-11-08 13:37:10,420000.00
14,0,6,9267571593696510,2020-11-15 16:39:48,420000.00
14,0,5,9267656907336433,2020-11-21 14:50:08,460000.00
14,0,5,9267756369738013,2020-11-28 12:36:15,460000.00
14,0,0,83267789955063714,2020-11-30 20:35:09,400000.00
14,0,5,106267850501489119,2020-12-05 01:30:00,500000.00
14,0,4,106267949405315405,2020-12-11 22:20:31,550000.00
14,0,5,9267961758104041,2020-12-12 18:55:04,740000.00
14,1,5,9268060906796095,2020-12-19 16:10:15,740000.00
14,0,0,82268088749997002,2020-12-21 14:34:25,380000.00
15,0,1,9263871894256180,2020-03-03 18:29:38,200000.00
15,0,6,8266767386515050,2020-09-20 20:18:07,450000.00
15,0,5,8266853425242522,2020-09-26 19:42:50,600000.00
15,0,4,81266939554054356,2020-10-02 19:15:05,600000.00
15,0,4,81267028955573610,2020-10-09 00:15:30,600000.00
15,0,3,81267121477022017,2020-10-15 10:27:09,800000.00
15,0,3,113267126446045140,2020-10-15 18:44:53,300000.00
15,0,3,107267126457671602,2020-10-15 18:46:12,320000.00
15,0,3,111267126475254400,2020-10-15 18:47:54,300000.00
15,0,3,106267126482928898,2020-10-15 18:49:06,300000.00
15,0,3,112267126497890086,2020-10-15 18:50:11,300000.00
15,0,3,104267126518016207,2020-10-15 18:52:07,400000.00
15,0,0,117267174577611697,2020-10-19 02:57:31,500000.00
15,1,0,114267174574308976,2020-10-19 02:58:59,300000.00
15,0,0,110267174611316350,2020-10-19 03:01:37,300000.00
15,0,3,113267223776918075,2020-10-22 12:57:41,300000.00
15,0,3,106267223783535900,2020-10-22 12:58:24,300000.00
15,0,3,112267223782618686,2020-10-22 12:59:00,350000.00
15,0,3,107267223811355195,2020-10-22 13:01:48,320000.00
15,0,3,118267225696405763,2020-10-22 16:10:05,300000.00
15,0,4,104267231732899238,2020-10-23 02:13:36,400000.00
15,0,4,111267232205353259,2020-10-23 03:00:20,400000.00
15,0,0,117267284924919532,2020-10-26 18:53:18,500000.00
15,0,3,118267327432638377,2020-10-29 17:43:37,400000.00
15,0,3,113267327498228453,2020-10-29 17:50:13,500000.00
15,0,3,104267327932409362,2020-10-29 18:34:00,400000.00
15,0,3,106267328201916641,2020-10-29 19:00:18,400000.00
15,0,3,107267328781535472,2020-10-29 19:59:28,420000.00
15,0,4,112267331884191928,2020-10-30 01:08:58,400000.00
15,0,4,111267340596373711,2020-10-30 15:39:55,500000.00
15,0,4,114267341499707845,2020-10-30 17:09:25,300000.00
15,0,5,115267352942946708,2020-10-31 12:14:55,300000.00
15,0,0,108267384697447691,2020-11-02 17:09:39,500000.00
15,0,0,117267387786890679,2020-11-02 22:19:04,600000.00
15,0,3,129267427615061959,2020-11-05 16:41:52,300000.00
15,0,5,113267451469314603,2020-11-07 08:26:52,500000.00
15,0,5,83267451563385394,2020-11-07 08:36:26,370000.00
15,0,5,128267456854010264,2020-11-07 17:25:29,500000.00
15,0,5,127267456856163285,2020-11-07 17:25:58,500000.00
15,0,5,106267458161058001,2020-11-07 19:37:02,400000.00
15,0,6,112267467071693657,2020-11-08 10:27:31,400000.00
15,0,6,104267472902313993,2020-11-08 20:11:18,400000.00
15,0,6,111267472929109975,2020-11-08 20:12:51,500000.00
15,0,1,107267501434695453,2020-11-10 19:43:54,420000.00
15,0,2,117267514416301161,2020-11-11 17:21:42,600000.00
15,0,5,81267554392846533,2020-11-14 11:59:05,800000.00
15,0,5,83267556037056985,2020-11-14 14:43:38,580000.00
15,0,0,118267582406774178,2020-11-16 10:40:27,500000.00
15,0,0,112267582401221228,2020-11-16 10:41:15,400000.00
15,0,0,106267582412816227,2020-11-16 10:41:56,400000.00
15,0,0,125267582424081714,2020-11-16 10:42:49,350000.00
15,0,0,113267582434963302,2020-11-16 10:43:20,500000.00
15,0,0,127267584194238401,2020-11-16 13:39:24,500000.00
15,0,1,104267600074329638,2020-11-17 16:07:36,400000.00
15,0,1,111267600082600547,2020-11-17 16:08:32,500000.00
15,0,2,124267616383900967,2020-11-18 19:19:22,300000.00
15,0,2,105267616402301545,2020-11-18 19:20:18,400000.00
15,0,2,130267616402429848,2020-11-18 19:20:39,300000.00
15,0,2,139267616409361827,2020-11-18 19:21:27,300000.00
15,0,2,134267616416035633,2020-11-18 19:21:53,500000.00
15,0,3,135267628961434898,2020-11-19 16:16:58,600000.00
15,0,3,119267628972768298,2020-11-19 16:17:33,300000.00
15,0,3,137267628974557750,2020-11-19 16:18:00,500000.00
15,0,3,146267628989440512,2020-11-19 16:18:25,300000.00
15,0,3,145267628995983200,2020-11-19 16:19:16,300000.00
15,0,4,109267645648468443,2020-11-20 20:04:49,400000.00
15,0,4,149267645674568812,2020-11-20 20:09:16,600000.00
15,0,4,144267645702715672,2020-11-20 20:10:35,500000.00
15,0,4,132267645701573262,2020-11-20 20:11:01,300000.00
15,0,4,117267645736076618,2020-11-20 20:13:17,600000.00
15,0,5,128267649557449305,2020-11-21 02:35:42,500000.00
15,0,5,9267656718695589,2020-11-21 14:31:46,370000.00
15,0,5,83267657794325165,2020-11-21 16:19:56,480000.00
15,0,2,113267718638254335,2020-11-25 21:43:18,500000.00
15,0,4,135267744765545638,2020-11-27 17:17:01,600000.00
15,1,4,104267744779488966,2020-11-27 17:18:04,400000.00
15,0,4,107267744787214270,2020-11-27 17:19:16,420000.00
15,0,4,105267744808780109,2020-11-27 17:20:14,500000.00
15,1,4,112267744811089935,2020-11-27 17:21:21,400000.00
15,0,4,106267744864355583,2020-11-27 17:26:58,600000.00
15,0,4,134267744874007492,2020-11-27 17:28:11,500000.00
15,1,4,111267744896594007,2020-11-27 17:29:13,500000.00
15,0,6,165267765495536098,2020-11-29 03:49:52,500000.00
15,0,6,156267771477520305,2020-11-29 13:47:18,500000.00
15,0,6,153267774593663470,2020-11-29 19:00:12,500000.00
15,0,6,114267774668145135,2020-11-29 19:06:13,300000.00
15,0,6,115267774666937114,2020-11-29 19:06:59,300000.00
15,0,6,117267774679060957,2020-11-29 19:07:38,600000.00
15,0,6,124267774683277580,2020-11-29 19:08:40,300000.00
15,0,3,171267829252718915,2020-12-03 14:05:28,400000.00
15,0,3,167267829253160767,2020-12-03 14:05:57,350000.00
15,0,3,141267829274355943,2020-12-03 14:07:33,400000.00
15,0,3,169267829289288379,2020-12-03 14:08:52,500000.00
15,0,3,152267829293874861,2020-12-03 14:09:17,500000.00
15,0,3,158267829307371394,2020-12-03 14:10:17,600000.00
15,0,4,155267847988527254,2020-12-04 21:18:23,700000.00
15,0,4,160267848006461091,2020-12-04 21:20:41,500000.00
15,0,5,170267849824263819,2020-12-05 00:22:42,400000.00
15,0,5,106267850959893748,2020-12-05 02:15:23,650000.00
15,0,5,118267859016592171,2020-12-05 15:42:13,700000.00
15,0,2,159267908894266004,2020-12-09 02:49:52,600000.00
15,0,2,162267908906600439,2020-12-09 02:51:10,500000.00
15,0,2,161267908929883203,2020-12-09 02:52:35,500000.00
15,0,2,138267908934790716,2020-12-09 02:54:19,200000.00
15,0,2,131267908956158198,2020-12-09 02:55:13,400000.00
15,0,2,164267909341496728,2020-12-09 03:34:32,300000.00
15,0,2,149267909353441856,2020-12-09 03:35:34,650000.00
15,0,2,125267909367933037,2020-12-09 03:36:21,550000.00
15,1,5,83267956564105846,2020-12-12 10:16:14,510000.00
15,0,5,107267956587499780,2020-12-12 10:19:17,520000.00
15,0,5,154267956594227999,2020-12-12 10:19:45,500000.00
15,0,5,81267957378833840,2020-12-12 11:37:35,600000.00
15,1,5,9267958128433004,2020-12-12 12:52:35,740000.00
15,0,5,147267962746684143,2020-12-12 20:35:05,600000.00
15,0,5,108267962759325135,2020-12-12 20:39:34,500000.00
15,0,4,113268042571444820,2020-12-18 09:37:58,600000.00
15,0,4,106268042585654766,2020-12-18 09:39:00,650000.00
15,0,4,160268042599022178,2020-12-18 09:39:59,500000.00
15,0,5,137268061272317022,2020-12-19 16:47:22,500000.00
15,0,5,161268061279655141,2020-12-19 16:48:21,500000.00
15,0,5,158268061295709748,2020-12-19 16:49:21,600000.00
15,0,5,115268061302287018,2020-12-19 16:50:18,300000.00
15,1,5,81268061348056522,2020-12-19 16:54:11,800000.00
15,0,6,128268072398136509,2020-12-20 11:19:17,500000.00
15,0,6,156268072394981159,2020-12-20 11:20:09,500000.00
15,0,6,164268072436443175,2020-12-20 11:24:08,300000.00
15,0,6,149268072443822181,2020-12-20 11:25:10,600000.00
15,0,6,144268072466051644,2020-12-20 11:26:14,500000.00
15,1,6,83268075874438897,2020-12-20 17:07:09,570000.00
15,0,0,118268094172924570,2020-12-21 23:37:54,500000.00
16,0,0,9267685392273120,2020-11-23 14:19:15,400000.00
16,0,5,82267757595671427,2020-11-28 14:39:39,230000.00
16,0,6,9267772935503570,2020-11-29 16:13:06,510000.00
16,0,5,82267958867145759,2020-12-12 14:06:24,380000.00
16,1,5,9268060642253800,2020-12-19 15:44:29,620000.00
17,0,2,81266911374279836,2020-09-30 20:17:45,450000.00
17,1,0,108267685351644167,2020-11-23 14:15:59,500000.00
17,0,0,165267785391230322,2020-11-30 13:01:11,500000.00
17,0,0,156267785444044168,2020-11-30 13:04:35,500000.00
17,0,0,149267785657657889,2020-11-30 13:25:50,650000.00
17,0,0,128267785819995215,2020-11-30 13:41:24,500000.00
17,0,0,108267785889709979,2020-11-30 13:48:55,600000.00
17,0,0,113267786103854641,2020-11-30 14:11:00,500000.00
17,0,0,104267786275161516,2020-11-30 14:27:27,400000.00
17,1,1,134267799257905453,2020-12-01 12:06:09,500000.00
17,0,1,144267799281137681,2020-12-01 12:08:58,500000.00
17,0,1,135267799302779422,2020-12-01 12:10:44,650000.00
17,0,1,132267799334548042,2020-12-01 12:13:49,500000.00
17,1,1,153267799422274923,2020-12-01 12:23:17,500000.00
17,0,1,158267799495058206,2020-12-01 12:31:49,500000.00
17,1,1,130267799779474081,2020-12-01 12:57:22,500000.00
17,1,1,111267800261764247,2020-12-01 13:46:51,500000.00
17,1,1,161267801347406820,2020-12-01 15:34:35,500000.00
17,1,1,106267801374994549,2020-12-01 15:37:28,500000.00
17,1,1,105267801411026177,2020-12-01 15:41:20,500000.00
17,1,2,160267815293861296,2020-12-02 14:49:20,500000.00
17,1,2,137267815304938589,2020-12-02 14:50:31,500000.00
17,1,2,118267815901382929,2020-12-02 15:51:02,500000.00
17,1,2,169267816331303830,2020-12-02 16:34:10,500000.00
17,0,4,9267845056904384,2020-12-04 16:25:54,400000.00
17,0,4,82267845356053602,2020-12-04 16:55:47,400000.00
17,0,0,149267886685571860,2020-12-07 13:48:58,800000.00
17,0,0,128267887227268943,2020-12-07 14:42:46,500000.00
17,0,0,156267887931933711,2020-12-07 15:53:23,500000.00
17,1,0,127267888386425927,2020-12-07 16:38:26,500000.00
17,1,0,125267889273038265,2020-12-07 18:07:23,550000.00
17,1,1,113267899922865684,2020-12-08 11:52:32,550000.00
17,0,1,104267899935186901,2020-12-08 11:53:23,400000.00
17,0,1,165267899944831739,2020-12-08 11:54:13,550000.00
17,0,1,135267900065909032,2020-12-08 12:07:22,800000.00
17,0,1,158267900546564634,2020-12-08 12:54:59,650000.00
17,1,1,155267901849187250,2020-12-08 15:05:02,700000.00
17,1,1,117267901851308744,2020-12-08 15:05:40,500000.00
17,1,1,147267901861322594,2020-12-08 15:07:07,600000.00
17,0,1,144267901967688576,2020-12-08 15:16:57,550000.00
17,0,1,132267902243898284,2020-12-08 15:45:04,600000.00
17,0,0,83267989245523594,2020-12-14 16:44:09,120000.00
17,1,5,9268059818458783,2020-12-19 14:21:14,620000.00
18,1,4,82268046936056662,2020-12-18 16:53:35,380000.00
18,1,5,9268059755653102,2020-12-19 14:15:14,400000.00
18,0,5,106268059968463248,2020-12-19 14:36:17,500000.00
19,0,3,9262691005482908,2019-12-12 18:20:54,200000.00
19,0,2,100263481708807293,2020-02-05 16:10:30,300000.00
19,0,6,100263036787009527,2020-01-05 18:38:51,300000.00
19,0,5,9263124942306178,2020-01-11 21:34:31,200000.00
19,0,2,9263984838283418,2020-03-11 14:43:42,200000.00
19,0,1,9265483557737329,2020-06-23 16:35:12,80000.00
19,0,1,8265485177307196,2020-06-23 19:17:44,80000.00
19,0,2,9265701592149179,2020-07-08 19:59:03,160000.00
19,0,3,106265714364407860,2020-07-09 17:16:30,300000.00
19,1,3,106265812844005310,2020-07-16 13:24:20,300000.00
19,0,3,9265914975028882,2020-07-23 15:37:06,320000.00
19,1,2,9266302886431566,2020-08-19 14:08:27,320000.00
19,0,1,105266492529009639,2020-09-01 18:12:44,300000.00
19,0,1,107266492602593292,2020-09-01 18:20:58,300000.00
19,0,4,9267035433356854,2020-10-09 11:03:21,580000.00
19,0,4,9267239672396096,2020-10-23 15:27:28,580000.00
19,0,4,9267442453793086,2020-11-06 17:25:04,580000.00
19,1,4,9267644964126100,2020-11-20 18:56:13,800000.00
19,1,5,9267960353897037,2020-12-12 16:35:10,740000.00
20,1,5,9268057531795341,2020-12-19 10:33:30,340000.00
21,0,6,9263641345374038,2020-02-16 18:14:20,200000.00
21,0,2,9264386162256106,2020-04-08 11:36:11,200000.00
21,0,2,9266401178815126,2020-08-26 09:57:38,320000.00
21,0,3,106266516348643993,2020-09-03 10:20:41,300000.00
21,0,3,107266516522536374,2020-09-03 10:22:45,300000.00
21,1,0,8266580847353727,2020-09-07 21:24:47,420000.00
21,1,1,9266589131015207,2020-09-08 11:13:19,530000.00
21,1,3,107266623258277939,2020-09-10 20:05:40,300000.00
21,1,3,106266623269587107,2020-09-10 20:06:20,300000.00
21,0,3,104266623277253655,2020-09-10 20:07:34,300000.00
21,0,5,104266741112756380,2020-09-19 15:18:45,300000.00
21,0,0,111266772342983710,2020-09-21 04:34:23,300000.00
21,0,0,110266772353524345,2020-09-21 04:36:19,300000.00
21,0,2,113266804261591367,2020-09-23 09:46:58,300000.00
21,0,5,104266854787439306,2020-09-26 21:58:40,300000.00
21,1,0,114266876393639030,2020-09-28 10:00:30,300000.00
21,0,2,113266908764300825,2020-09-30 15:56:20,300000.00
21,0,6,110266958832310721,2020-10-04 03:23:45,300000.00
21,0,6,104266970857027550,2020-10-04 23:25:21,300000.00
21,0,0,112266979081513011,2020-10-05 13:08:27,300000.00
21,0,1,114266988522780149,2020-10-06 04:52:34,300000.00
21,0,1,81266991439043603,2020-10-06 09:43:48,650000.00
21,0,2,113267012227814390,2020-10-07 20:22:26,500000.00
21,0,6,110267064107355284,2020-10-11 10:50:55,300000.00
21,1,0,104267080732571315,2020-10-12 14:33:35,400000.00
21,0,4,9267138587549125,2020-10-16 14:58:23,420000.00
21,1,5,81267251834122785,2020-10-24 11:43:15,650000.00
21,0,5,114267110338926144,2020-10-24 11:46:48,400000.00
21,0,5,104267251893282998,2020-10-24 11:49:59,400000.00
21,1,5,111267255074496733,2020-10-24 17:07:45,400000.00
21,0,2,113267110305993663,2020-10-28 02:27:11,500000.00
21,1,3,9267323521021095,2020-10-29 11:12:11,580000.00
21,0,5,114267350052640945,2020-10-31 07:26:00,400000.00
21,0,5,104267350084911040,2020-10-31 07:28:50,400000.00
21,0,1,112267397344269380,2020-11-03 14:14:21,350000.00
21,0,1,113267402585120659,2020-11-03 22:58:50,500000.00
21,1,3,117267428869426477,2020-11-05 18:46:49,500000.00
21,0,5,104267460238956294,2020-11-07 23:03:44,400000.00
21,1,0,114267484907919643,2020-11-09 16:10:42,500000.00
21,0,1,129267502841554966,2020-11-10 22:05:05,300000.00
21,1,4,124267536252813427,2020-11-13 05:47:58,300000.00
21,0,4,113267502836401350,2020-11-13 05:49:04,500000.00
21,0,5,104267559566965953,2020-11-14 20:36:34,400000.00
21,0,1,129267598263887981,2020-11-17 13:07:23,400000.00
21,0,2,130267614157417841,2020-11-18 15:35:16,300000.00
